유사도 30미만,유사도 30이상 60미만,유사도 60이상80미만,유사도 80이상
아쉽게도 두 분의 매력이 너무 달라서 비슷한 점을 찾기 힘드네요.,"두 분은 비슷한 매력을 가지고 있지만, 각각의 개성이 독특하게 드러나네요.","두 분, 마치 같은 거울에서 나온 것처럼 보이네요! 닮은 매력이 폭발적입니다!",완전히 한 몸 같아요! 나란히 서면 헷갈리기 딱 좋네요!
서로 다른 개성이 뚜렷하게 느껴지네요. 닮은 부분은 찾기 어려운 것 같습니다.,"공통된 느낌이 느껴지긴 하지만, 각자의 매력이 더욱 눈에 띕니다.",와우! 서로의 미소가 너무 비슷해서 팬클럽을 만들어야겠어요!,이 정도면 DNA를 공유하신 것 아닌가요? 서로의 쌍둥이 느낌이 가득해요!
확실히 다른 분위기네요. 각자의 매력이 너무 달라서 흥미롭습니다.,"서로 닮은 듯하면서도, 각자의 색깔이 확연히 다릅니다.",이건 진짜 쌍둥이의 비밀을 발견한 느낌이에요. 매력이 넘쳐납니다!,"두 분, 마치 서로의 거울을 보고 있는 것 같아요. 쌍둥이인가요?"
이 정도면 서로 잘 모르실 것 같아요. 매력이 너무 다릅니다.,"비슷한 분위기가 감돌지만, 개성이 뚜렷하게 느껴집니다.","두 분의 스타일이 맞물려서, 패션쇼를 열어도 무방할 듯해요!",여러분은 패션 쌍둥이로 등극하셨어요! 함께 다니면 인기 폭발!
"흥미로운 조합이긴 한데, 닮은 부분은 없네요. 독특합니다.","닮은 점이 몇 가지 있지만, 각자의 매력이 강하게 부각되네요.",이 정도면 같은 별에서 온 듯한 느낌! 개성은 잠시 내려두고요!,누가 봐도 서로를 구분하기 힘든 비주얼! 이건 대체 어떻게 된 건가요?
서로 다른 매력이 강하게 느껴지는 모습이에요. 닮은 점이 없습니다.,"유사한 점이 있지만, 두 분의 독창적인 매력은 다르게 표현됩니다.","서로의 매력이 흡사해, 혹시 형제 아니세요? 헷갈릴 정도예요!","이 정도로 비슷하면, 이제는 함께 광고 모델로 나가야겠어요!"
아쉽게도 비슷함은 전혀 느껴지지 않네요. 각자의 매력이 눈에 띄어요.,"서로 비슷해 보이지만, 각각의 개성이 더욱 매력적으로 다가옵니다.","두 분, 마치 한 드라마의 캐릭터 같아요. 매력이 가득하네요!",마치 같은 드라마의 캐릭터 같아요! 다음 시즌을 함께 하셔야 해요!
서로 다른 개성이 강조되는 사진이네요. 닮은 부분이 없어서 흥미롭습니다.,"유사한 요소가 있지만, 각자의 독특한 매력이 뚜렷하게 드러납니다.",닮은 점이 많아 사진 한 장 찍으면 유명해질 것 같아요!,"두 분의 매력, 정말 완벽하게 맞아떨어지네요. 팬미팅을 열어도 좋겠어요!"
전혀 다른 스타일이네요! 매력이 강하지만 닮은 점은 없습니다.,"닮은 부분이 있지만, 여전히 서로 다른 매력이 느껴져요.","두 분의 매력이 서로를 끌어당기니, 마치 쌍둥이처럼 보입니다!","같은 스타일부터 행동까지, 이건 진짜 동생이 아니고선 설명이 안 돼요!"
확실히 두 분의 매력은 다르네요. 비슷한 점이 없어서 재미있습니다.,"비슷한 매력을 지녔지만, 개성의 차이가 더욱 두드러지네요.",이 정도면 형제 자매처럼 닮았네요. 패션 대결 해보세요!,"이렇게 닮은 분들이 함께하면, 사진 한 장으로 화제성이 엄청날 듯해요!"
"흥미로운 차이가 있지만, 닮은 점이 없네요. 각자의 매력이 돋보입니다.","두 분의 스타일이 유사하지만, 독창성이 강하게 나타납니다.","두 분의 스타일이 비슷해, 함께 광고에 나가면 대박날 것 같아요!","서로의 미소가 너무 비슷해, 나란히 서면 웃음이 절로 나올 것 같아요!"
아쉽게도 서로 닮은 부분이 없는 것 같아요! 매력이 다릅니다.,"닮은 점이 있지만, 각자의 개성이 서로 다르게 표현됩니다.","서로의 매력이 닮아, 팬미팅을 해도 재밌겠어요!",이건 쌍둥이 프로젝트가 아니고선 불가능한 조합이에요!
